[2024-11-23T01:43:43.510Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.512Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.515Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.526Z] Error tracking positions for linea 49: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.532Z] Error tracking positions for linea 35: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.566Z] Error tracking positions for linea 56: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.571Z] Error tracking positions for linea 3703: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.577Z] Error tracking positions for linea 88: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.580Z] Error tracking positions for linea 47: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.593Z] Error tracking positions for linea 11: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.619Z] Error tracking positions for linea 220: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.635Z] Error tracking positions for linea 165: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.777Z] Error tracking positions for linea 232: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.790Z] Error tracking positions for linea 16501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.894Z] Error tracking positions for linea 1504: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.906Z] Error tracking positions for linea 1005: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.923Z] Error tracking positions for linea 31: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.975Z] Error tracking positions for linea 58: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.273Z] Error tracking positions for linea 501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.456Z] Error tracking positions for linea 54: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.464Z] Error tracking positions for linea 128: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.472Z] Error tracking positions for linea 30: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.475Z] Error tracking positions for linea 1503: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.478Z] Error tracking positions for linea 28: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.480Z] Error tracking positions for linea 233: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.484Z] Error tracking positions for linea 454: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.486Z] Error tracking positions for linea 5: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.488Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.544Z] Error tracking positions for linea 38: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.549Z] Error tracking positions for linea 40: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.554Z] Error tracking positions for linea 34: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.558Z] Error tracking positions for linea 1003: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.563Z] Error tracking positions for linea 133: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.567Z] Error tracking positions for linea 1002: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.589Z] Error tracking positions for linea 187: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.599Z] Error tracking positions for linea 1006: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.603Z] Error tracking positions for linea 11: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.608Z] Error tracking positions for linea 2: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.617Z] Error tracking positions for linea 56: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.620Z] Error tracking positions for linea 41: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.623Z] Error tracking positions for linea 110: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.656Z] Error tracking positions for linea 1502: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.658Z] Error tracking positions for linea 3703: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.661Z] Error tracking positions for linea 1501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.663Z] Error tracking positions for linea 88: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.666Z] Error tracking positions for linea 220: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.669Z] Error tracking positions for linea 35: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.671Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.675Z] Error tracking positions for linea 232: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.677Z] Error tracking positions for linea 49: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.679Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.682Z] Error tracking positions for linea 16501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.685Z] Error tracking positions for linea 1504: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.688Z] Error tracking positions for linea 47: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.690Z] Error tracking positions for linea 165: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
